Stadtteil,Bezirk,StadtTID,Wohn_07,Wohn_10,Wohn_Change,SozD_07,SozD_10,SozD_Change,Mietpreise,Anteil_ETW,Anteil_KDU,Kind_Arm,Erwa_Arm,Alter_Arm
Köpenick,Treptow-Köpenick,35,-0.7,0.35,1.05,0.785158986,1.008326073,-0.976501226,6.05153648,0.287916015,0.190666667,0.265243631,0.084821106,0.014586598
Lankwitz,Steglitz-Zehlendorf,36,0.33,1.19,0.86,0.860594169,0.845166685,0.65010161,6.397424386,0.424260182,0.117989056,0.293824207,0.074020244,0.028805465
Lichtenberg,Lichtenberg,37,-0.97,-0.25,0.72,-0.005160573,0.142493831,-0.218574897,6.197954576,0.147120787,0.139534884,0.395297978,0.115636067,0.024165622
Lichtenrade,Tempelhof-Schöneberg,38,0.4,0.81,0.41,0.930216322,0.948767316,0.394458077,6.478741285,0.286666667,0.254877281,0.269803485,0.069872111,0.027151272
Lichterfelde,Steglitz-Zehlendorf,39,1.21,1.79,0.58,1.336851883,1.414001427,-0.131989908,7.570972306,0.406976744,0.393150685,0.177191082,0.055161088,0.018689604
Mahlsdorf,Marzahn-Hellersdorf,41,1.02,0.95,-0.07,2.022069452,2.133986332,-0.576906654,6.745498698,0.269767442,0.773614062,0.041654889,0.036083567,0.004182292
Mariendorf,Tempelhof-Schöneberg,43,0.17,0.91,0.74,0.519460175,0.531500799,0.562111161,6.479355943,0.346758968,0.044534154,0.361309871,0.086858395,0.032664331
Marienfelde,Tempelhof-Schöneberg,44,-0.5,-0.15,0.35,0.152060715,0.299861645,-0.266534955,5.9356751,0.181506849,0.016260163,0.382774386,0.084095498,0.042996327
Marzahn,Marzahn-Hellersdorf,45,-1.8,-1.8,0,-1.169802227,-0.960021931,-0.300209841,5.020190561,0.014680317,0.405939476,0.547400335,0.12810449,0.037313005
Mitte,Mitte,46,1.8,3.59,1.79,1.05502038,1.120268909,0.034424742,10.74898038,0.537357427,0.544046467,0.22268592,0.065010537,0.034707321
